county,waterbody,station,deployment_range,sensor_type,sensor_serial_number,timestamp_utc,sensor_depth_at_low_tide_m,sensor_depth_measured_m,dissolved_oxygen_percent_saturation
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T00:00:00Z,5,4.999999999999999,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T00:30:00Z,5,5.517638090205041,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T01:00:00Z,5,5.999999999999998,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T01:30:00Z,5,6.414213562373093,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T02:00:00Z,5,6.732050807568877,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T02:30:00Z,5,6.931851652578136,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T03:00:00Z,5,7,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T03:30:00Z,5,6.931851652578137,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T04:00:00Z,5,6.7320508075688785,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T04:30:00Z,5,6.414213562373097,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T05:00:00Z,5,6.000000000000003,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T05:30:00Z,5,5.517638090205045,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T06:00:00Z,5,5.000000000000001,98
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T06:30:00Z,5,4.482361909794959,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T07:00:00Z,5,4.000000000000002,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T07:30:00Z,5,3.585786437626907,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T08:00:00Z,5,3.267949192431124,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T08:30:00Z,5,3.0681483474218645,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T09:00:00Z,5,3,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T09:30:00Z,5,3.068148347421863,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T10:00:00Z,5,3.2679491924311215,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T10:30:00Z,5,3.5857864376269033,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T11:00:00Z,5,3.9999999999999973,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T11:30:00Z,5,4.482361909794955,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T12:00:00Z,5,4.999999999999999,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T12:30:00Z,5,5.51763809020504,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T13:00:00Z,5,5.999999999999998,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T13:30:00Z,5,6.414213562373093,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T14:00:00Z,5,6.732050807568876,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T14:30:00Z,5,6.9318516525781355,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T15:00:00Z,5,7,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T15:30:00Z,5,6.931851652578137,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T16:00:00Z,5,6.7320508075688785,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T16:30:00Z,5,6.414213562373098,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T17:00:00Z,5,6.0000000000000036,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T17:30:00Z,5,5.517638090205046,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T18:00:00Z,5,5.000000000000004,102
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T18:30:00Z,5,4.48236190979496,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T19:00:00Z,5,4.000000000000002,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T19:30:00Z,5,3.5857864376269095,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T20:00:00Z,5,3.2679491924311246,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T20:30:00Z,5,3.0681483474218636,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T21:00:00Z,5,3,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T21:30:00Z,5,3.0681483474218627,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T22:00:00Z,5,3.2679491924311197,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T22:30:00Z,5,3.5857864376269024,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T23:00:00Z,5,3.999999999999994,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-02T23:30:00Z,5,4.482361909794954,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T00:00:00Z,5,4.999999999999998,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T00:30:00Z,5,5.517638090205036,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T01:00:00Z,5,5.999999999999997,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T01:30:00Z,5,6.4142135623730905,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T02:00:00Z,5,6.732050807568875,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T02:30:00Z,5,6.931851652578136,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T03:00:00Z,5,7,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T03:30:00Z,5,6.931851652578137,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T04:00:00Z,5,6.73205080756888,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T04:30:00Z,5,6.414213562373098,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T05:00:00Z,5,6.000000000000007,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T05:30:00Z,5,5.517638090205046,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T06:00:00Z,5,5.000000000000002,98
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T06:30:00Z,5,4.482361909794964,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T07:00:00Z,5,4.000000000000003,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T07:30:00Z,5,3.58578643762691,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T08:00:00Z,5,3.267949192431125,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T08:30:00Z,5,3.0681483474218654,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T09:00:00Z,5,3,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T09:30:00Z,5,3.0681483474218627,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T10:00:00Z,5,3.2679491924311197,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T10:30:00Z,5,3.5857864376269024,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T11:00:00Z,5,3.999999999999993,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T11:30:00Z,5,4.482361909794954,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T12:00:00Z,5,4.999999999999998,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T12:30:00Z,5,5.517638090205035,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T13:00:00Z,5,5.999999999999997,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T13:30:00Z,5,6.41421356237309,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T14:00:00Z,5,6.732050807568875,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T14:30:00Z,5,6.931851652578135,101.21752285801743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T15:00:00Z,5,7,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T15:30:00Z,5,6.931851652578137,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T16:00:00Z,5,6.73205080756888,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T16:30:00Z,5,6.414213562373098,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T17:00:00Z,5,6.000000000000007,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T17:30:00Z,5,5.517638090205047,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T18:00:00Z,5,5.000000000000009,102
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T18:30:00Z,5,4.482361909794965,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T19:00:00Z,5,4.000000000000003,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T19:30:00Z,5,3.5857864376269104,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T20:00:00Z,5,3.267949192431125,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T20:30:00Z,5,3.068148347421866,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T21:00:00Z,5,3,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T21:30:00Z,5,3.068148347421861,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T22:00:00Z,5,3.2679491924311193,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T22:30:00Z,5,3.585786437626902,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T23:00:00Z,5,3.999999999999993,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-03T23:30:00Z,5,4.482361909794953,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T00:00:00Z,5,4.99999999999999,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T00:30:00Z,5,5.517638090205035,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T01:00:00Z,5,5.9999999999999964,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T01:30:00Z,5,6.41421356237309,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T02:00:00Z,5,6.732050807568875,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T02:30:00Z,5,6.9318516525781355,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T03:00:00Z,5,7,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T03:30:00Z,5,6.931851652578139,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T04:00:00Z,5,6.732050807568881,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T04:30:00Z,5,6.4142135623730985,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T05:00:00Z,5,6.000000000000002,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T05:30:00Z,5,5.517638090205054,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T06:00:00Z,5,5.00000000000001,98
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T06:30:00Z,5,4.482361909794965,98.01711027725239
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T07:00:00Z,5,4.0000000000000036,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T07:30:00Z,5,3.585786437626906,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T08:00:00Z,5,3.2679491924311286,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T08:30:00Z,5,3.068148347421866,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T09:00:00Z,5,3,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T09:30:00Z,5,3.0681483474218627,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T10:00:00Z,5,3.2679491924311153,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T10:30:00Z,5,3.5857864376268966,99.23463313526982
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T11:00:00Z,5,3.9999999999999925,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T11:30:00Z,5,4.482361909794953,99.7389476155599
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T12:00:00Z,5,4.999999999999997,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T12:30:00Z,5,5.517638090205028,100.26105238444009
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T13:00:00Z,5,5.99999999999999,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T13:30:00Z,5,6.414213562373089,100.76536686473017
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T14:00:00Z,5,6.732050807568875,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T14:30:00Z,5,6.9318516525781355,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T15:00:00Z,5,7,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T15:30:00Z,5,6.931851652578139,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T16:00:00Z,5,6.732050807568881,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T16:30:00Z,5,6.4142135623730985,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T17:00:00Z,5,6.000000000000002,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T17:30:00Z,5,5.517638090205054,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T18:00:00Z,5,5.000000000000011,102
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T18:30:00Z,5,4.482361909794966,101.98288972274761
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T19:00:00Z,5,4.0000000000000036,101.93185165257813
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T19:30:00Z,5,3.5857864376269157,101.84775906502257
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T20:00:00Z,5,3.267949192431129,101.73205080756888
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T20:30:00Z,5,3.0681483474218663,101.58670668058247
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T21:00:00Z,5,3,101.41421356237309
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T21:30:00Z,5,3.0681483474218627,101.21752285801745
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T22:00:00Z,5,3.2679491924311153,101
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T22:30:00Z,5,3.585786437626896,100.76536686473018
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T23:00:00Z,5,3.999999999999992,100.51763809020504
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-04T23:30:00Z,5,4.482361909794952,100.2610523844401
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T00:00:00Z,5,4.9999999999999964,100
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T00:30:00Z,5,5.517638090205027,99.73894761555991
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T01:00:00Z,5,5.999999999999989,99.48236190979496
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T01:30:00Z,5,6.414213562373089,99.23463313526983
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T02:00:00Z,5,6.732050807568874,99
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T02:30:00Z,5,6.9318516525781355,98.78247714198255
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T03:00:00Z,5,7,98.58578643762691
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T03:30:00Z,5,6.931851652578139,98.41329331941753
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T04:00:00Z,5,6.732050807568881,98.26794919243112
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T04:30:00Z,5,6.414213562373099,98.15224093497743
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T05:00:00Z,5,6.000000000000014,98.06814834742187
Halifax,mcnabs,lighthouse,2023-Jan-01 to 2023-Jan-15,aquameasure,123,2023-01-05T05:30:00Z,5,5.517638090205055,98.01711027725239
